meanWidth,meanHeight,meanLength,meanVolume,countStacking,countTurnover,boxesCount,loadingWidth,loadingHeight,loadingLength,density_percent
295.7464788732394,322.84507042253523,235.6338028169014,24677453.521126762,355,355,355,2490.0,2590.0,13490.0,55.07126
310.0,100.0,510.0,15810000.0,10,10,10,800.0,2000.0,1200.0,83.33333
240.0,100.0,310.0,7440000.0,40,40,40,800.0,2000.0,1200.0,62.0
40.0,40.0,65.0,104000.0,60,60,60,220.0,135.0,270.0,100.0
240.0,100.0,310.0,7440000.0,40,0,40,800.0,2000.0,1200.0,80.2589
202.06,154.53,366.74,15250690.63,100,100,100,800.0,2000.0,1200.0,79.86997
184.4952380952381,153.8761904761905,361.62857142857143,13290417.17142857,105,0,105,800.0,2000.0,1200.0,72.82762
928.75,1096.25,2452.5,8960351250.0,8,0,8,2490.0,2590.0,13490.0,92.54325
928.75,1096.25,2452.5,8960351250.0,8,0,8,2490.0,2590.0,13490.0,92.54325
928.75,1096.25,2452.5,8960351250.0,8,0,8,2490.0,2590.0,13490.0,92.54325
200.0,25.0,6000.0,30000000.0,300,300,300,2352.0,2393.0,12032.0,91.18541
200.0,25.0,6000.0,30000000.0,1200,1200,1200,2352.0,2393.0,12032.0,94.56265
200.0,25.0,6000.0,30000000.0,1449,1449,1449,2330.0,2698.0,12010.0,95.88089
1207.0,798.0,1566.0,2678499600.0,0,0,10,2490.0,2590.0,13490.0,46.64721
994.0,1393.6,1146.4,1899957080.0,1,25,25,2480.0,2860.0,13600.0,58.3393
994.0,1393.6,1146.4,1899957080.0,0,0,25,2480.0,2860.0,13600.0,57.48137
175.0,214.23432682425488,2460.431654676259,91996402.87769784,973,0,973,2480.0,2860.0,13600.0,96.64382
130.96296296296296,175.96666666666667,214.5962962962963,5811432.877777778,270,270,270,800.0,2000.0,1200.0,81.76416
123.86234817813765,172.09716599190284,209.417004048583,5467162.477732793,247,247,247,800.0,1800.0,1200.0,78.19096
384.70588235294116,1042.9411764705883,610.5882352941177,264338470.5882353,20,20,34,1978.0,2100.0,4168.0,69.94074
380.6060606060606,1035.4545454545455,609.6969696969697,259339272.72727272,33,20,33,1978.0,2100.0,4168.0,73.19202
388.57142857142856,1050.0,611.4285714285714,269052000.0,35,35,35,1978.0,2100.0,4168.0,72.06703
415.45454545454544,1099.090909090909,617.2727272727273,301832454.54545456,44,44,44,2282.0,2494.0,5000.0,72.03363
1295.7446808510638,380.51063829787233,1270.212765957447,611728723.4042553,47,47,47,2400.0,2300.0,6120.0,85.92912
334.6666666666667,413.3333333333333,840.6666666666666,118070400.0,15,7,15,1000.0,2330.0,1100.0,76.33322
388.57142857142856,1050.0,611.4285714285714,269052000.0,35,35,35,1978.0,2100.0,4168.0,72.06703
1000.0,1170.0,1200.0,1404000000.0,26,0,26,2352.0,2385.0,12032.0,55.27211
